Project/township/building,Tenure,Type,Median price,Median PSF,Transactions,Unnamed:6
"A FARMOSA GOLF RESORTPegoh, Melaka",Leasehold,Bungalow,"RM500,000",RM65,24,
"BANDAR AMANJAYA (ZON KENANGA)Sungai Petani, Kedah",Freehold,"Terrace House, Bungalow","RM300,000",RM128,24,
"Villa WangsamasWangsa Maju, Kuala Lumpur",Freehold,Condominium,"RM497,500",RM378,24,
"Beverly Hills 5Kota Kinabalu, Sabah",Leasehold,Apartment,"RM207,500",RM411,24,
"Farlim 4Ayer Itam, Penang",Freehold,Flat,"RM138,000",RM253,24,
"Villa Krystal ApartmentSkudai, Johor",Freehold,Apartment,"RM270,000",RM301,24,
"Tree SparinaBayan Lepas, Penang",Freehold,Condominium,"RM650,000",RM513,24,
"Pangsapuri Seri InaiSerendah, Selangor",Freehold,Flat,"RM122,500",RM154,24,
"Taman Semarak IINilai, Negeri Sembilan",Freehold,Flat,"RM73,000",RM108,24,
"Verve Suites KL SouthJalan Klang Lama (Old Klang Road), Kuala Lumpur",Freehold,Service Residence,"RM760,500","RM1,292",24,
"TAMAN IDAMAN PUTRARawang, Selangor",Leasehold,Terrace House,"RM680,000",RM455,23,
"HILL PARK HOMEKajang, Selangor",Freehold,Terrace House,"RM563,000",RM407,23,
"ECO HORIZON (FASA1)Batu Kawan, Penang",Freehold,Terrace House,"RM948,000",RM552,23,
"ALAM SURIA, PUNCAK ALAMBandar Puncak Alam, Selangor","Leasehold, Freehold","Cluster House, Terrace House","RM500,000",RM300,23,
"TAMAN PERPADUAN KOPERASITambun, Perak",Leasehold,Terrace House,"RM335,000",RM238,23,
"BANDAR PERDANA (TERES)Sungai Petani, Kedah",Freehold,Terrace House,"RM265,000",RM156,23,
"TAMAN SRI PENAWARPengerang, Johor",Leasehold,Terrace House,"RM498,000",RM272,23,
"SETIA ECOHILLBeranang, Selangor",Freehold,"Terrace House, Semi D","RM688,888",RM400,23,
