Project/township/building,Tenure,Type,Median price,Median PSF,Transactions,Unnamed:6
"TAMAN KAJANG MEWAHKajang, Selangor",Freehold,"Semi D, Terrace House","RM482,500",RM275,10,
"SETIA IMPIAN 7Setia Alam, Selangor",Freehold,"Semi D, Cluster House","RM732,500",RM445,10,
"TAMAN RIMBA (PEC LOT 1135)Mentakab, Pahang",Freehold,Terrace House,"RM165,000",RM200,10,
"TAMAN BUNGA RAYAKuala Kangsar, Perak",Leasehold,Terrace House,"RM189,500",RM144,10,
"TAMAN MUHIBBAHKlebang, Melaka",Freehold,Semi D,"RM464,900",RM140,10,
"TAMAN LIMAU MANISAlor Setar, Kedah",Freehold,Terrace House,"RM271,000",RM200,10,
"SIERRAMAS WESTSungai Buloh, Selangor",Freehold,Bungalow,"RM2,475,000",RM617,10,
"TAMAN MERDEKA FASA 1DBatu Berendam, Melaka",Leasehold,Terrace House,"RM283,000",RM175,10,
"TAMAN MERGONG JAYA (FASA 1)Alor Setar, Kedah",Freehold,Terrace House,"RM220,000",RM183,10,
"TAMAN INTAN FASA 3Sungai Petani, Kedah",Freehold,"Terrace House, Semi D","RM325,000",RM119,10,
"TAMAN MURNIBatu Pahat, Johor",Freehold,Terrace House,"RM285,000",RM227,10,
"TAMAN SILIBIN RIAIpoh, Perak",Leasehold,Terrace House,"RM447,500",RM304,10,
"TAMAN MUTIARA BESTARISkudai, Johor",Freehold,Cluster House,"RM1,105,460",RM391,10,
"SIERRAMASSungai Buloh, Selangor",Freehold,"Terrace House, Bungalow","RM3,100,000",RM588,10,
"TAMAN SARIBanting, Selangor",Freehold,Terrace House,"RM365,000",RM207,10,
"BUKIT BANDARAYA SHAH ALAMShah Alam, Selangor",Leasehold,"Semi D, Bungalow","RM915,000",RM371,10,
"KAMPUNG BARU KOPISANGopeng, Perak",Leasehold,Bungalow,"RM79,000",RM20,10,
"TAMAN SRI PULASANSeremban, Negeri Sembilan",Leasehold,Terrace House,"RM205,000",RM167,10,
"TAMAN LUMBA KUDAAlor Setar, Kedah",Freehold,Semi D,"RM585,000",RM171,10,
"TAMAN SERI IMPIANBukit Mertajam, Penang",Freehold,Terrace House,"RM562,500",RM441,10,
"TAMAN CEMPAKASenawang, Negeri Sembilan",Leasehold,Terrace House,"RM250,000",RM202,10,
"TAMAN KUCAIKulim, Kedah",Freehold,"Semi D, Terrace House","RM260,000",RM152,10,
"TAMAN TIRAMKulim, Kedah",Freehold,Terrace House,"RM250,000",RM168,10,
"TAMAN ANDAIpoh, Perak",Leasehold,Terrace House,"RM275,000",RM167,10,
"DESA SRI JENARISKajang, Selangor",Freehold,Terrace House,"RM347,500",RM317,10,
"TAMAN PEDAS INDAHPedas, Negeri Sembilan",Freehold,Terrace House,"RM197,500",RM159,10,
"TAMAN BERSATURawang, Selangor",Leasehold,Terrace House,"RM300,000",RM193,10,
"TAMAN KOTA PERDANASeri Kembangan, Selangor",Leasehold,"Terrace House, Semi D","RM535,000",RM278,10,
"PRIMA SP BAIDURI (SP 1)Sungai Petani, Kedah",Freehold,Terrace House,"RM220,000",RM154,10,
"KUNDANG JAYARawang, Selangor",Freehold,Terrace House,"RM515,000",RM200,10,
"TAMAN KOPERASI MUHIBBAHKluang, Johor",Freehold,Terrace House,"RM294,000",RM169,10,
"TAMAN SERI MURNIButterworth, Penang",Freehold,Terrace House,"RM555,000",RM382,10,
"SENIBONG VILLASMasai, Johor",Freehold,Semi D,"RM1,850,000",RM489,10,
"TAMAN KAMPAR PERDANAKampar, Perak",Leasehold,Terrace House,"RM245,000",RM167,10,
"TAMAN MEWAH KULAIKulai, Johor",Freehold,"Terrace House, Semi D","RM280,000",RM197,10,
"TAMAN PUNCAK SAUJANAKajang, Selangor",Freehold,"Semi D, Terrace House, Town House","RM595,000",RM381,10,
"JALAN INDAHSibu, Sarawak",Leasehold,Terrace House,"RM252,500",RM148,10,
"TAMAN PUTERIKuching, Sarawak",Leasehold,"Terrace House, Semi D","RM407,500",RM150,10,
"TAMAN BADRISHAHLahat, Perak",Leasehold,Terrace House,"RM195,000",RM118,10,
"TAMAN PUNCAK BERTAM (MALIM HILL PARK)Bertam, Melaka",Freehold,Terrace House,"RM574,400",RM311,10,
"TAMAN DESAKluang, Johor",Freehold,Terrace House,"RM247,500",RM166,10,
"DESA WIRAKuching, Sarawak","Leasehold, Freehold",Terrace House,"RM345,000",RM188,10,
"TAMAN KASIH PUTERABahau, Negeri Sembilan",Freehold,Terrace House,"RM287,500",RM187,10,
"TAMAN AIR KEROH FASA 1-3Bukit Katil, Melaka",Leasehold,Terrace House,"RM240,000",RM134,10,
"NUSAVILLAIskandar Puteri (Nusajaya), Johor",Freehold,Town House,"RM475,000",RM284,10,
"RIVERIAKota Samarahan, Sarawak",Leasehold,"Terrace House, Semi D","RM670,000",RM195,10,
"TAMAN SALENGKulai, Johor",Freehold,Terrace House,"RM117,000",RM155,10,
"TAMAN TERUSBintulu, Sarawak",Leasehold,"Semi D, Terrace House","RM474,000",RM251,10,
"TAMAN PANTAI LOK KAWIPapar, Sabah",Leasehold,"Terrace House, Bungalow","RM425,000",RM177,10,
"TAMAN PENAGA PERMAIPenaga, Penang",Freehold,"Town House, Terrace House","RM170,000",RM265,10,
"TAMAN BALAI PANJANG MURNIBalai Panjang, Melaka",Freehold,Terrace House,"RM313,240",RM161,10,
"TAMAN RIA HEIGHTTawau, Sabah",Leasehold,Terrace House,"RM411,785",RM239,10,
"PERUMAHAN ATABARA PERDANAKuantan, Pahang",Leasehold,Terrace House,"RM230,000",RM258,10,
"TAMAN KEMPAS FASA 1Sungai Petani, Kedah",Freehold,Terrace House,"RM162,500",RM129,10,
"SUNRISE AVENUEIpoh, Perak",Leasehold,Terrace House,"RM312,500",RM197,10,
"KAMPUNG BARU PASIR PINJIIpoh, Perak",Leasehold,Bungalow,"RM142,750",RM36,10,
"TAMAN LIM, IPOHIpoh, Perak",Freehold,"Semi D, Terrace House","RM341,061",RM105,10,
"TAMAN KAJANG PERDANAKajang, Selangor","Freehold, Leasehold",Terrace House,"RM527,500",RM332,10,
"TAMAN MEGAHBatu Pahat, Johor",Freehold,Terrace House,"RM254,000",RM186,10,
"TAMAN PERPADUAN MULIA (SERI GARDEN)Tambun, Perak",Leasehold,Terrace House,"RM495,000",RM310,10,
"TAMAN PUTERA INDAHMuar, Johor",Freehold,Terrace House,"RM734,000",RM353,10,
"TAMAN BANANG JAYABatu Pahat, Johor",Freehold,Terrace House,"RM259,400",RM213,10,
"TAMAN KEMPASTampoi, Johor",Freehold,Terrace House,"RM362,500",RM330,10,
"TAMAN DESA IDAMANDurian Tunggal, Melaka",Freehold,"Semi D, Terrace House","RM400,000",RM170,10,
"MAHKOTA PERMAIKuantan, Pahang",Leasehold,Terrace House,"RM270,000",RM189,10,
"TAMAN BAYU MUTIARABukit Mertajam, Penang",Freehold,Terrace House,"RM650,000",RM418,10,
"TAMAN BAHAGIA DELIMAKuala Pilah, Negeri Sembilan",Freehold,"Semi D, Terrace House","RM200,000",RM125,10,
"PETALING GARDENKepong, Kuala Lumpur",Freehold,Terrace House,"RM722,500",RM422,10,
"TAMAN MELAWATISkudai, Johor",Freehold,Terrace House,"RM475,000",RM291,10,
"TAMAN KEMUNINGKulim, Kedah",Freehold,Terrace House,"RM332,500",RM204,10,
"PERDANA COLLEGE HEIGHTSMantin, Negeri Sembilan",Freehold,Terrace House,"RM445,000",RM326,10,
"TAMAN BUKIT DAHLIAMasai, Johor",Leasehold,Terrace House,"RM490,000",RM320,10,
"TAMAN SRI IMPIAN FASA 1Alor Setar, Kedah",Freehold,Terrace House,"RM275,000",RM178,10,
"TAMAN PONTIAN PERDANAPontian, Johor",Freehold,Bungalow,"RM691,950",RM137,10,
"PINGGIRAN BERTAM PERDANA (BP4)Kepala Batas, Penang",Freehold,Terrace House,"RM270,000",RM229,10,
"Flat DaisyMasai, Johor",Leasehold,Flat,"RM145,000",RM193,10,
"Ruby Tower (Ria)Butterworth, Penang",Freehold,Apartment,"RM240,000",RM305,10,
"Magna VilleSelayang, Selangor",Leasehold,Condominium,"RM329,815",RM326,10,
"Taman Desa BelantikJohor Bahru, Johor",Leasehold,Apartment,"RM195,000",RM259,10,
"Perai JayaPerai, Penang",Leasehold,Flat,"RM46,500",RM79,10,
"USJ One Avenue CondoSubang Jaya, Selangor",Leasehold,Condominium,"RM535,000",RM361,10,
"Flat PKNS Seksyen 8Shah Alam, Selangor",Leasehold,Flat,"RM177,000",RM299,10,
"Mahkota ResidenceCheras, Selangor",Freehold,Apartment,"RM375,000",RM320,10,
"Sphere DamansaraDamansara Damai, Selangor",Leasehold,Service Residence,"RM480,000",RM421,10,
"Apartment Seri TelukiHulu Selangor, Selangor",Freehold,Flat,"RM122,500",RM155,10,
"De TropicanaKuchai Lama, Kuala Lumpur",Leasehold,Condominium,"RM257,500",RM260,10,
"Cheras RiaCheras, Kuala Lumpur",Freehold,Flat,"RM150,000",RM263,10,
"Mont Kiara AmanMont Kiara, Kuala Lumpur",Freehold,Condominium,"RM1,315,000",RM624,10,
"Saujana Heights ApartmentsTeluk Kumbar, Penang",Freehold,Apartment,"RM220,000",RM394,10,
"Juta MinesSeri Kembangan, Selangor",Leasehold,Condominium,"RM330,000",RM333,10,
"Kinrara CourtBandar Kinrara, Selangor",Leasehold,Flat,"RM230,000",RM262,10,
"Amaya SaujanaSaujana, Selangor",Freehold,Condominium,"RM920,000",RM549,10,
"Kelana MahkotaKelana Jaya, Selangor",Leasehold,Condominium,"RM557,500",RM417,10,
"Azuria CondominiumTanjung Bungah, Penang",Freehold,Condominium,"RM260,000",RM371,10,
"Cocobay ResortPort Dickson, Negeri Sembilan",Freehold,Condominium,"RM115,000",RM147,10,
"SerojaSetia Alam, Selangor",Freehold,Flat,"RM195,000",RM290,10,
"Platinum Lake PV 16Setapak, Kuala Lumpur",Leasehold,Condominium,"RM480,000",RM357,10,
"Glomac DamansaraTaman Tun Dr Ismail, Kuala Lumpur",Freehold,Service Residence,"RM848,500",RM759,10,
"Vista Millennium CondominiumPuchong, Selangor",Leasehold,Condominium,"RM300,000",RM322,10,
"Taman Daya - Jalan Pinang 3, 4Tebrau, Johor",Freehold,Flat,"RM127,500",RM217,10,
"Danau PermaiTaman Desa, Kuala Lumpur",Leasehold,Condominium,"RM490,000",RM453,10,
"Pertama ResidencyCheras, Kuala Lumpur",Leasehold,Service Residence,"RM387,500",RM481,10,
"Subang Perdana Goodyear Court 9Subang Jaya, Selangor",Freehold,Apartment,"RM370,000",RM394,10,
"Taman TerbilangButterworth, Penang",Freehold,Apartment,"RM337,500",RM278,10,
"28 BoulevardAmpang, Selangor",Leasehold,Service Residence,"RM445,000",RM697,10,
"Prima Midah HeightsCheras, Kuala Lumpur",Freehold,Condominium,"RM597,500",RM404,10,
"Puteri Palma CondominiumPutrajaya, Putrajaya",Freehold,Condominium,"RM500,000",RM336,10,
"CloudTree ResidenceCheras, Selangor",Freehold,Condominium,"RM622,900",RM476,10,
"Seksyen 4 Wangsa Maju FlatWangsa Maju, Kuala Lumpur",Leasehold,Flat,"RM200,000",RM380,10,
"Anjali North KiaraSegambut, Kuala Lumpur",Freehold,Condominium,"RM1,140,000",RM637,10,
"Platinum Lake PV 13Setapak, Kuala Lumpur",Leasehold,Condominium,"RM498,500",RM365,10,
"ImpianTanjong Duabelas, Selangor",Leasehold,Apartment,"RM160,000",RM252,10,
"Sky Gardens ResidencesTampoi, Johor",Freehold,Service Residence,"RM445,000",RM387,10,
"Putra RiaBangsar, Kuala Lumpur",Leasehold,Flat,"RM250,000",RM406,10,
"Bayu MarinaJohor Bahru, Johor",Leasehold,Apartment,"RM245,000",RM358,10,
"Valencia ApartmentShah Alam, Selangor",Freehold,Apartment,"RM152,500",RM183,10,
"Bandar Baru Permas JayaPermas Jaya, Johor",Freehold,Flat,"RM170,000",RM232,10,
"Mewah View Luxurious ApartmentsTampoi, Johor",Freehold,Apartment,"RM355,000",RM273,10,
"The CloversBayan Lepas, Penang",Freehold,Condominium,"RM625,000",RM468,10,
"Vista Komanwel ABukit Jalil, Kuala Lumpur",Freehold,Condominium,"RM420,000",RM334,10,
"VIM 3 @ Desa Park NorthKepong, Kuala Lumpur",Leasehold,Service Residence,"RM367,000",RM744,10,
"The VyneSungai Besi, Kuala Lumpur",Leasehold,Condominium,"RM677,000",RM626,10,
"Park AvenueTampoi, Johor",Leasehold,Apartment,"RM174,000",RM240,10,
"Taman Bukit ErskineTanjong Tokong, Penang",Freehold,Apartment,"RM270,000",RM413,10,
"Casa Ria ApartmentRawang, Selangor",Freehold,Apartment,"RM220,000",RM276,10,
"Ramin ApartmentGenting Highlands, Pahang",Freehold,Apartment,"RM310,000",RM486,10,
"Casa IdamanSentul, Kuala Lumpur",Leasehold,Condominium,"RM382,500",RM360,10,
"Residensi Warnasari 2Bandar Puncak Alam, Selangor",Leasehold,Apartment,"RM280,000",RM327,10,
"Anjung Hijau (Greenfields)Bukit Jalil, Kuala Lumpur",Freehold,Apartment,"RM410,000",RM416,10,
"D'Pines@AmpangAmpang, Selangor",Leasehold,Condominium,"RM740,000",RM386,10,
"Idaman LavenderSungai Ara, Penang",Freehold,Apartment,"RM345,000",RM452,10,
"SD Apartments IIBandar Sri Damansara, Selangor",Freehold,Apartment,"RM270,000",RM366,10,
"Midfields 2Sungai Besi, Kuala Lumpur",Leasehold,Condominium,"RM542,500",RM466,10,
"Desa GreenJelutong, Penang",Freehold,Apartment,"RM276,500",RM395,10,
"Pusat Komersial Seksyen 7Shah Alam, Selangor",Leasehold,Flat,"RM277,500",RM348,10,
"Silk ResidenceCheras, Selangor",Freehold,Apartment,"RM370,000",RM364,10,
"Bennington Residences @ SkyArenaSetapak, Kuala Lumpur",Leasehold,Condominium,"RM737,365",RM593,10,
"Desaminium RimbaSeri Kembangan, Selangor",Leasehold,Apartment,"RM280,000",RM250,10,
"Taman Seri Sari (Sunshine Garden)Bukit Jambul, Penang",Freehold,Apartment,"RM248,500",RM355,10,
"Pulai ViewTampoi, Johor",Leasehold,Apartment,"RM402,500",RM322,10,
"The Northshore GardensDesa ParkCity, Kuala Lumpur",Freehold,Condominium,"RM1,605,000",RM930,10,
"Hijauan KiaraMont Kiara, Kuala Lumpur",Freehold,Condominium,"RM1,375,000",RM604,10,
"Wellesley ResidencesButterworth, Penang",Freehold,Condominium,"RM456,500",RM386,10,
"D'Ambience Residences (Pangsapuri Ikatan Flora)Permas Jaya, Johor",Freehold,Service Residence,"RM357,500",RM381,10,
"Sri WangiTampoi, Johor",Leasehold,Apartment,"RM350,000",RM284,10,
"Tiffani KiaraMont Kiara, Kuala Lumpur",Freehold,Condominium,"RM1,900,000",RM591,10,
"Desa Indah Block 86Bukit Jambul, Penang",Freehold,Apartment,"RM255,000",RM388,10,
"D'AlamandaCheras, Kuala Lumpur",Leasehold,Service Residence,"RM415,000",RM393,10,
"SkycubeSungai Ara, Penang",Freehold,Condominium,"RM610,000",RM491,10,
"MJC Courtyard SanctuaryKuching, Sarawak",Leasehold,Apartment,"RM290,000",RM340,10,
"Pinang LagunaPerai, Penang",Freehold,Apartment,"RM345,000",RM346,10,
"Green ResidenceCheras, Selangor",Freehold,Condominium,"RM651,500",RM504,10,
"DahliaSerendah, Selangor",Leasehold,Apartment,"RM132,500",RM189,10,
"Kepong Sentral CondominiumKepong, Selangor",Leasehold,Condominium,"RM310,000",RM311,10,
"Desa DuaKepong, Selangor",Freehold,Apartment,"RM262,500",RM313,10,
"Taman Impian IndahBalakong, Selangor",Freehold,Flat,"RM172,500",RM219,10,
"Ara Hill CondominiumAra Damansara, Selangor",Freehold,Condominium,"RM1,390,000",RM621,10,
"Ken Damansara 2Petaling Jaya, Selangor",Freehold,Condominium,"RM809,000",RM547,10,
"Mahasa VillaSentul, Kuala Lumpur",Freehold,Apartment,"RM272,500",RM288,10,
"Tropika ApartmentPandamaran, Selangor",Freehold,Apartment,"RM265,000",RM347,10,
"Idaman ApartmentBukit Mertajam, Penang",Freehold,Apartment,"RM190,000",RM264,10,
"Nova ISegambut, Kuala Lumpur",Freehold,Apartment,"RM301,500",RM390,10,
"Lestari ApartmentDamansara Damai, Selangor",Leasehold,Flat,"RM165,000",RM254,10,
"AragreensAra Damansara, Selangor",Freehold,Service Residence,"RM1,946,700",RM890,10,
"Apartment IdamanDamansara Damai, Selangor",Leasehold,Flat,"RM152,500",RM232,10,
"Taman Gertak SanggulTeluk Kumbar, Penang",Freehold,Flat,"RM130,000",RM263,10,
"Taman MudaAmpang, Selangor",Leasehold,Flat,"RM140,000",RM232,10,
"Pangsapuri SarakaPuchong, Selangor",Freehold,Apartment,"RM313,500",RM346,10,
"Pangsapuri Kasturi TiaraCheras, Selangor",Freehold,Apartment,"RM260,000",RM279,10,
"Mon BiscaPermas Jaya, Johor",Freehold,Apartment,"RM263,000",RM277,10,
"BANDAR SUNWAY SEMENYIHSemenyih, Selangor",Freehold,"Terrace House, Semi D","RM510,000",RM278,9,
"TAMAN KULIM TECHNOCITY FASA 2Kulim, Kedah",Freehold,Terrace House,"RM310,000",RM200,9,
"TAMAN MALAWATI JAYAKuala Selangor, Selangor",Leasehold,Terrace House,"RM310,000",RM230,9,
"TAMAN AMANAHTanjong Duabelas, Selangor",Freehold,"Semi D, Terrace House","RM390,000",RM225,9,
"TAMAN DESA JAROMJenjarom, Selangor",Freehold,"Terrace House, Semi D","RM728,000",RM326,9,
"BANDAR ALAM MASAIMasai, Johor",Freehold,Terrace House,"RM600,950",RM309,9,
"PERMATANG SHAHBANDAR IIChenor, Pahang",Leasehold,Semi D,"RM384,905",RM104,9,
"TAMAN SERI BINJAISeremban, Negeri Sembilan",Freehold,"Terrace House, Semi D","RM780,000",RM323,9,
"TAMAN KULIM TECHNOCITY FASA 1Kulim, Kedah",Freehold,Terrace House,"RM275,000",RM197,9,
"TAMAN PELANGI (SIKAMAT)Sikamat, Negeri Sembilan",Freehold,Terrace House,"RM238,000",RM217,9,
"TAMAN JIMAH BESTARIJimah, Negeri Sembilan",Freehold,Semi D,"RM362,000",RM123,9,
"TAMAN TABUNG HAJI (NURI)Alor Setar, Kedah",Leasehold,Terrace House,"RM180,000",RM253,9,
"TAMAN PADUKA (TAMAN BUKIT GEMILANG)Kuala Selangor, Selangor",Freehold,Terrace House,"RM240,000",RM159,9,
"LAMAN IMPIAN, BANDAR BOTANICKlang, Selangor",Freehold,Town House,"RM340,000",RM376,9,
"TAMAN BIDORIA RESIDENSIBidor, Perak",Leasehold,Terrace House,"RM245,000",RM174,9,
"TIARA SENDAYAN (PRESINT 7)Labu, Negeri Sembilan",Freehold,Terrace House,"RM528,888",RM406,9,
"TAMAN SHAH BANDARKuala Kedah, Kedah",Freehold,Semi D,"RM363,160",RM127,9,
"TAMAN KULIM SQUARELunas, Kedah",Freehold,"Terrace House, Semi D","RM437,500",RM225,9,
"GAMUDA 25.7Tanjong Duabelas, Selangor",Leasehold,Semi D,"RM2,187,800",RM611,9,
"TAMAN SERI ROTANKuala Kedah, Kedah",Freehold,Semi D,"RM368,472",RM145,9,
"TAMAN JENDERAM LESTARIDengkil, Selangor",Freehold,Terrace House,"RM400,000",RM307,9,
"TAMAN KELANA, RANTAU PANJANGKapar, Selangor",Freehold,Terrace House,"RM473,000",RM354,9,
"TAMAN TOK MUDA SEJAHTERAKapar, Selangor",Freehold,Terrace House,"RM392,000",RM306,9,
"KOTA SERIBONGPadang Enggang, Kelantan",Leasehold,Terrace House,"RM445,000",RM342,9,
"PANGSAPURI LAGUNTebrau, Johor",Freehold,Terrace House,"RM998,000",RM820,9,
"BANDAR SERI ALAMMasai, Johor",Freehold,"Terrace House, Semi D","RM440,000",RM355,9,
"BANDAR SERI ALAMPasir Gudang, Johor",Freehold,Terrace House,"RM300,000",RM325,9,
"TAMAN PADANG RIABalai Panjang, Melaka",Freehold,Terrace House,"RM280,000",RM196,9,
"TAMAN LEMBAH BUJANG SAUJANAMerbok, Kedah",Freehold,Terrace House,"RM239,875",RM168,9,
"TAMAN DESA MELATI 3Nilai, Negeri Sembilan",Freehold,Terrace House,"RM450,000",RM211,9,
"TAMAN MARIDA IIAmpangan, Negeri Sembilan",Leasehold,Terrace House,"RM240,000",RM96,9,
"TAMAN PENAGAPenaga, Penang",Freehold,Terrace House,"RM200,000",RM200,9,
"TAMAN LEMBAH BUJANG FASA 3Merbok, Kedah",Freehold,Terrace House,"RM180,000",RM150,9,
"TAMAN DESA RISHAHIpoh, Perak",Leasehold,Terrace House,"RM360,000",RM175,9,
"TAMAN SERI RAPATIpoh, Perak",Leasehold,Terrace House,"RM265,000",RM169,9,
"TAMAN SINGA BARUSitiawan, Perak",Freehold,"Semi D, Terrace House","RM260,000",RM179,9,
"TAMAN SEREMBAN FOREST HEIGHTSSeremban, Negeri Sembilan",Freehold,Terrace House,"RM690,000",RM411,9,
"TAMAN NIRABatu Pahat, Johor",Freehold,Terrace House,"RM300,000",RM162,9,
"PUTERI HEIGHTSRawang, Selangor",Leasehold,Terrace House,"RM370,000",RM272,9,
"TAMAN SRI DERMAWANIpoh, Perak",Leasehold,"Semi D, Terrace House","RM330,000",RM159,9,
"TAMAN PUCHONG INTANPuchong, Selangor",Leasehold,Terrace House,"RM420,000",RM473,9,
"TAMAN KAMUNTING AMANTaiping, Perak",Leasehold,Terrace House,"RM190,000",RM136,9,
"SETIA ECO TEMPLERRawang, Selangor",Leasehold,"Terrace House, Semi D","RM1,350,000",RM600,9,
"SEKSYEN 23 SHAH ALAMShah Alam, Selangor",Leasehold,Terrace House,"RM650,000",RM429,9,
"TAMAN BUKIT SAGAShah Alam, Selangor",Freehold,Terrace House,"RM550,000",RM279,9,
"TAMAN SUNTEXCheras, Selangor",Freehold,Terrace House,"RM500,000",RM336,9,
"BANDAR BATU KAWANBatu Kawan, Penang",Leasehold,"Terrace House, Bungalow","RM375,000",RM295,9,
"TAMAN LAGENDA BEMBAN PERMAIBatu Gajah, Perak",Leasehold,Terrace House,"RM235,000",RM161,9,
"TAMAN SERI RAMBAI 1Bukit Rambai, Melaka",Freehold,Terrace House,"RM245,000",RM158,9,
"BANDAR BARU TANGKAKTangkak, Johor",Freehold,"Cluster House, Terrace House","RM276,144",RM116,9,
"TAMAN VILLA MUTIARA INDAHSungai Bakap, Penang",Freehold,"Semi D, Terrace House","RM610,000",RM230,9,
"SUNGAI ISAP DAMAIKuantan, Pahang",Leasehold,Bungalow,"RM250,000",RM65,9,
"TAMAN DESA ABLELINKKlang, Selangor",Freehold,Terrace House,"RM380,000",RM335,9,
"TAMAN SAUJANA KINABALURanau, Sabah",Leasehold,Terrace House,"RM250,000",RM149,9,
"TAMAN DESA BOTANIBatu Pahat, Johor",Freehold,Terrace House,"RM720,000",RM486,9,
"TAMAN BERNAM BARUUlu Bernam, Perak",Leasehold,Terrace House,"RM300,000",RM147,9,
"JALAN STAMPINKuching, Sarawak",Leasehold,"Semi D, Terrace House","RM800,000",RM214,9,
"TAMAN KAMPUNG PENDAMARKlang, Selangor",Leasehold,Terrace House,"RM310,000",RM232,9,
"TAMAN BATU GAJAH PERDANABatu Gajah, Perak",Leasehold,Terrace House,"RM220,000",RM143,9,
"TAMAN SETIA MUTIARAKluang, Johor",Freehold,"Terrace House, Semi D","RM650,000",RM205,9,
"HOLIDAY PARKMiri, Sarawak",Leasehold,"Semi D, Terrace House","RM400,000",RM107,9,
"KENYALANG PARKKuching, Sarawak",Leasehold,Terrace House,"RM360,000",RM129,9,
"PUTRAJAYA PRESINT 9Putrajaya, Putrajaya",Freehold,Terrace House,"RM678,000",RM481,9,
"TAMAN LEMBAH IMPIANA FASA 3Kulim, Kedah",Freehold,Terrace House,"RM250,000",RM209,9,
"TAMAN BUKIT CORALSikamat, Negeri Sembilan",Freehold,Terrace House,"RM358,000",RM227,9,
"TAMAN SERI JARUMJenjarom, Selangor",Leasehold,Terrace House,"RM330,000",RM257,9,
"TAMAN DESA UTAMAKlang, Selangor",Freehold,Terrace House,"RM450,000",RM285,9,
"SENTOSAKuantan, Pahang",Freehold,"Terrace House, Bungalow","RM300,000",RM137,9,
"TAMAN GERBANG MERU INDAHIpoh, Perak",Freehold,"Semi D, Bungalow","RM799,000",RM189,9,
"TAMAN PULAI HEIGHTSSimpang Pulai, Perak",Freehold,"Terrace House, Semi D","RM625,000",RM297,9,
"TAMAN BUDIMANAlor Setar, Kedah",Freehold,Terrace House,"RM247,000",RM225,9,
"TAMAN SRI NANDINGUlu Langat, Selangor",Leasehold,Terrace House,"RM275,000",RM246,9,
"TAMAN CHANDAN PUTRIKuala Kangsar, Perak",Freehold,Terrace House,"RM252,000",RM192,9,
"TAMAN SERAI SETIA FASA 1Padang Serai, Kedah",Freehold,"Semi D, Terrace House","RM260,000",RM187,9,
"TAMAN SRI SEGAMBUTSegambut, Kuala Lumpur",Leasehold,Terrace House,"RM570,000",RM386,9,
"TAMAN BEMBAN BARUBemban, Melaka",Freehold,Terrace House,"RM130,000",RM92,9,
"TAMAN BUKIT MASTaiping, Perak",Freehold,Terrace House,"RM330,000",RM153,9,
"TAMAN SELAYANG MUTIARASelayang, Selangor",Leasehold,Semi D,"RM445,000",RM199,9,
"TAMAN POKOK MANGGABalai Panjang, Melaka",Freehold,Terrace House,"RM290,000",RM193,9,
"MAHKOTA HILLSCheras, Selangor",Leasehold,"Semi D, Town House","RM387,000",RM448,9,
"BANDAR BARU SRI KERTIH TR 483Kerteh, Terengganu",Leasehold,Terrace House,"RM280,000",RM235,9,
"TAMAN DELIMAKluang, Johor",Freehold,"Terrace House, Semi D","RM360,000",RM179,9,
"TAMAN MELORAmpang, Selangor",Leasehold,Terrace House,"RM480,000",RM520,9,
"DESA MANJUNG POINT 2Lumut, Perak",Leasehold,Terrace House,"RM275,000",RM193,9,
"TAMAN SEJATI UJANASandakan, Sabah",Leasehold,Terrace House,"RM450,000",RM285,9,
"TAMAN ILHAMKluang, Johor","Leasehold, Freehold","Terrace House, Cluster House","RM100,000",RM50,9,
"TAMAN PINJI PERDANALahat, Perak",Freehold,Terrace House,"RM303,000",RM189,9,
"TAMAN GARING JAYARawang, Selangor",Leasehold,Terrace House,"RM290,000",RM184,9,
"LARUT TIN/ RPT LARUT TIN TAMBAHANTaiping, Perak",Leasehold,Bungalow,"RM210,000",RM48,9,
"TAMAN SRI WANG FASA IIArau, Perlis",Freehold,"Semi D, Terrace House","RM205,000",RM146,9,
"TAMAN TABUNG HAJI (BUKIT TINGGI)Kepala Batas, Kedah",Freehold,Terrace House,"RM180,000",RM151,9,
"TAMAN BANTING MEWAH (SUNGAI NANGKA)Banting, Selangor",Freehold,"Semi D, Terrace House","RM380,000",RM262,9,
"BANDAR SRI MAHKOTAKulim, Kedah",Freehold,Terrace House,"RM230,000",RM177,9,
"RPR ASTANAKuching, Sarawak",Leasehold,Terrace House,"RM250,000",RM109,9,
"KONDO VILLA PUTERA (PUTERA VILLAS)Kepala Batas, Penang",Freehold,Town House,"RM300,000",RM299,9,
"MLNG HOUSING SCHEMEBintulu, Sarawak",Leasehold,"Bungalow, Terrace House","RM560,000",RM125,9,
"TAMAN MAWAR JAYATriang, Pahang",Leasehold,"Terrace House, Semi D","RM328,000",RM179,9,
"TAMAN BELIBISSimpang Ampat, Penang",Freehold,Terrace House,"RM295,000",RM255,9,
"TAMAN BAGAN LALLANGButterworth, Penang",Freehold,"Semi D, Terrace House","RM700,000",RM452,9,
"TAMAN BUNGA RAYA, OFF JALAN PASIR PUTEHIpoh, Perak","Freehold, Leasehold","Bungalow, Terrace House","RM268,000",RM120,9,
"TAMAN PEREPAT INDAHKapar, Selangor",Leasehold,Terrace House,"RM355,555",RM320,9,
"TAMAN PELANGI INDAHTebrau, Johor",Freehold,Terrace House,"RM845,200",RM465,9,
